,Active Duty Family,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Marital Status Report ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Data Reflect Selection(s):,,,,,,,,,,,,,,,
,Select Service : Total DoD,,,,,,,,,,,,,,,
,Select Year : Apr-10,,,,,,,,,,,,,,,
,,Single Without Children,,,Single With Children,,,Joint Service Marriage,,,Civilian Marriage,,,Total,,
,Pay Grade,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
,E-1,"31,229","5,717","36,946",563,122,685,139,141,280,"5,060",719,"5,779","36,991","6,699","43,690"
,E-2,"53,094","8,388","61,482","1,457",275,"1,732",438,579,"1,017","12,483","1,682","14,165","67,472","10,924","78,396"
,E-3,"131,091","21,019","152,110","4,264","1,920","6,184","3,579","4,902","8,481","54,795","6,641","61,436","193,729","34,482","228,211"
,E-4,"112,710","16,381","129,091","9,491","4,662","14,153","8,661","9,778","18,439","105,556","9,961","115,517","236,418","40,782","277,200"
,E-5,"57,989","11,021","69,010","10,937","6,576","17,513","12,459","11,117","23,576","130,944","8,592","139,536","212,329","37,306","249,635"
,E-6,"19,125","4,654","23,779","10,369","4,962","15,331","8,474","6,961","15,435","110,322","5,827","116,149","148,290","22,404","170,694"
,E-7,"5,446","1,913","7,359","6,530","2,585","9,115","5,065","3,291","8,356","70,001","3,206","73,207","87,042","10,995","98,037"
,E-8,"1,009",438,"1,447","1,786",513,"2,299","1,423",651,"2,074","21,079",820,"21,899","25,297","2,422","27,719"
,E-9,381,202,583,579,144,723,458,150,608,"8,215",291,"8,506","9,633",787,"10,420"
,TOTAL ENLISTED,"412,074","69,733","481,807","45,976","21,759","67,735","40,696","37,570","78,266","518,455","37,739","556,194","1,017,201","166,801","1,184,002"
,O-1,"13,495","3,081","16,576",402,229,631,426,669,"1,095","6,959",828,"7,787","21,282","4,807","26,089"
,O-2,"11,029","2,715","13,744",426,299,725,910,"1,194","2,104","10,070","1,096","11,166","22,435","5,304","27,739"
,O-3,"14,551","5,056","19,607","1,442",940,"2,382","3,017","3,174","6,191","38,963","3,886","42,849","57,973","13,056","71,029"
,O-4,"3,480","1,720","5,200","1,190",534,"1,724","1,958","1,639","3,597","31,864","2,416","34,280","38,492","6,309","44,801"
,O-5,"1,244",810,"2,054",729,267,996,"1,072",806,"1,878","22,296","1,578","23,874","25,341","3,461","28,802"
,O-6,353,349,702,261,94,355,364,182,546,"10,004",715,"10,719","10,982","1,340","12,322"
,O-7,5,7,12,7,1,8,9,6,15,410,18,428,431,32,463
,O-8,4,7,11,0,0,0,7,2,9,272,16,288,283,25,308
,O-9,1,1,2,1,0,1,1,1,2,144,1,145,147,3,150
,O-10,1,0,1,0,0,0,1,1,2,35,0,35,37,1,38
,TOTAL OFFICER,"44,163","13,746","57,909","4,458","2,364","6,822","7,765","7,674","15,439","121,017","10,554","131,571","177,403","34,338","211,741"
,W-1,354,68,422,160,81,241,113,107,220,"2,371",97,"2,468","2,998",353,"3,351"
,W-2,658,151,809,358,143,501,295,204,499,"5,164",134,"5,298","6,475",632,"7,107"
,W-3,221,77,298,283,88,371,178,110,288,"3,790",94,"3,884","4,472",369,"4,841"
,W-4,116,47,163,169,35,204,117,45,162,"2,567",71,"2,638","2,969",198,"3,167"
,W-5,25,12,37,24,2,26,11,5,16,650,13,663,710,32,742
,TOTAL WARRANT,"1,374",355,"1,729",994,349,"1,343",714,471,"1,185","14,542",409,"14,951","17,624","1,584","19,208"
,GRAND TOTAL,"457,611","83,834","541,445","51,428","24,472","75,900","49,175","45,715","94,890","654,014","48,702","702,716","1,212,228","202,723","1,414,951"
,,,,,,,,,,,,,,,,
Top of Page,,,,,,,,,,,,,,,,
